,month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag,state,country
24,202510,12087,"monroe, fl",1266000.0,0.0128,0.0014,1176,0.0389,0.0103,104.0,-0.1266,-0.0282,262,0.5976,0.0826,12,0.5,0.2,0.0075,0.0019,0.0011,204.0,0.0515,-0.0893,0.1254,-0.0082,-0.018,162.0,-0.0716,0.0157,871.0,0.0014,-0.0291,1548.0,0.0181,0.0218,2401423.0,0.0391,0.0014,1331,0.0235,0.008,0.1378,-0.0164,0.0007,0,Non-State,Non-Nation
25,202510,12035,"flagler, fl",416250.0,-0.0066,-0.0189,1444,-0.0437,0.0234,97.0,0.0,0.2081,312,0.047,-0.1136,42,0.75,-0.5227,0.0192,0.0083,-0.0222,542.0,0.084,-0.0252,0.2472,0.0201,-0.0142,402.0,-0.0207,0.075,222.0,-0.0002,-0.0169,1905.0,0.0074,0.0058,558348.0,0.0012,0.0154,1843,-0.0348,0.038,0.2781,0.0065,0.0133,0,Non-State,Non-Nation
26,202510,12049,"hardee, fl",321688.0,0.1007,-0.0483,61,-0.032,0.2872,62.0,0.0513,-0.1961,14,0.0,-0.3636,0,-0.0238,-0.24659999999999999,0.0,0.0,0.0,16.0,0.0,0.3333,0.1818,0.0052,0.0446,16.0,0.0,-0.1351,188.0,0.0174,-0.059,1715.0,0.0254,-0.0363,469177.0,0.2844,0.0636,75,-0.0132,0.1374,0.2645,0.0085,-0.1292,0,Non-State,Non-Nation
27,202510,12041,"gilchrist, fl",352225.0,0.0797,0.0071,65,-0.0719,0.0488,114.0,-0.0299,0.4188,16,0.1429,-0.2,0,-0.0238,-1.0,0.0,0.0,-0.0969,16.0,0.3333,1.6667,0.1694,0.0494,0.1099,16.0,0.0,-0.2558,217.0,-0.0095,0.0108,1529.0,0.0401,-0.0538,434453.0,0.0204,0.0215,80,-0.0588,-0.0303,0.2481,0.0178,-0.1015,0,Non-State,Non-Nation
28,202510,12086,"miami-dade, fl",599000.0,0.0034,-0.0484,18591,0.0072,0.1899,89.0,-0.0484,0.2123,3580,0.0107,-0.0564,198,0.0421,0.1379,0.0078,0.0003,0.0001,3720.0,0.0789,0.1596,0.1479,0.0116,0.0062,3144.0,-0.028,-0.0251,466.0,0.0031,-0.0546,1324.0,0.0044,0.0011,1443022.0,0.0122,-0.0431,21732,0.0022,0.1532,0.1691,-0.0061,-0.0373,0,Non-State,Non-Nation
29,202510,12003,"baker, fl",356000.0,0.0405,0.0748,67,-0.0699,0.0472,75.0,0.0205,0.024,14,-0.125,0.1667,0,-0.0238,-0.24659999999999999,0.0,0.0,0.0,26.0,0.0,0.0833,0.2688,0.0224,0.0135,24.0,0.093,0.2703,199.0,0.0212,-0.0232,1860.0,-0.0185,0.0642,421703.0,-0.0096,0.0143,90,-0.0324,0.0915,0.3534,0.0527,0.062,0,Non-State,Non-Nation
30,202510,12027,"desoto, fl",339750.0,-0.1012,-0.097,111,-0.0089,0.0091,74.0,-0.1404,-0.1503,16,-0.4286,-0.6,0,-1.0,-1.0,0.0,-0.011,-0.0106,28.0,0.0,0.0769,0.1924,0.0289,0.0538,21.0,-0.2931,-0.4533,218.0,-0.028,-0.0295,1551.0,-0.0917,0.0297,530493.0,-0.0759,0.2233,132,-0.0674,-0.1085,0.1847,-0.0742,-0.1562,0,Non-State,Non-Nation
31,202510,12073,"leon, fl",325000.0,-0.0107,0.0656,915,0.0116,0.1869,58.0,-0.0043,0.055,312,0.1223,0.0065,12,-0.25,0.2,0.0078,-0.0024,0.0005,244.0,-0.0081,0.0702,0.1566,-0.0027,-0.0091,301.0,-0.0399,0.0101,201.0,0.0062,0.0252,1635.0,0.0055,0.0504,415552.0,0.0116,0.1101,1215,-0.0057,0.1392,0.3286,-0.0176,-0.0575,0,Non-State,Non-Nation
32,202510,12005,"bay, fl",411450.0,-0.0127,-0.0487,2857,-0.0426,0.0698,104.0,-0.0372,0.0725,554,-0.0348,0.2311,36,-0.4706,0.125,0.0092,-0.0072,0.0002,882.0,0.0601,0.1337,0.2256,0.0221,0.0076,526.0,-0.0924,0.1537,364.0,0.0499,0.1153,1472.0,0.0276,0.0301,574930.0,-0.0094,-0.0401,3375,-0.0591,0.0819,0.1839,-0.0101,0.0134,0,Non-State,Non-Nation
33,202510,12077,"liberty, fl",259750.0,0.1343,-0.1914,15,-0.0625,0.875,72.0,0.007,0.9459,2,-0.5,0.0,0,-0.0238,-0.24659999999999999,0.0,0.0,0.0,0.0,0.0515,-1.0,0.0,0.0,-0.3538,4.0,0.1429,1.6667,173.0,-0.0125,-0.0925,1720.0,0.022,0.0427,270960.0,-0.0316,-0.1309,18,-0.0789,0.8421,0.2667,0.0479,0.0792,1,Non-State,Non-Nation
34,202510,12069,"lake, fl",400000.0,-0.0183,-0.0302,2427,-0.0041,0.12,79.0,0.0261,0.2362,678,-0.0451,-0.0661,80,1.3529,0.0,0.0202,0.0117,-0.0014,974.0,0.0822,-0.0142,0.245,0.0187,-0.0209,856.0,-0.0234,0.0382,214.0,-0.0019,-0.0168,1920.0,-0.0057,0.0012,521516.0,-0.006,0.0125,3282,-0.0074,0.0977,0.3525,-0.007,-0.0278,0,Non-State,Non-Nation
35,202510,12081,"manatee, fl",475000.0,-0.0068,-0.013,3433,0.0079,0.1339,91.0,-0.0521,0.1166,992,0.1698,0.0333,30,-0.4444,-0.3182,0.0055,-0.0045,-0.0032,1252.0,0.1636,0.1341,0.2289,0.0281,0.0114,1055.0,-0.0664,-0.0317,261.0,-0.0047,-0.0286,1805.0,0.0004,0.0001,756965.0,-0.0096,-0.0026,4491,-0.0099,0.0909,0.3073,-0.0245,-0.0526,0,Non-State,Non-Nation
36,202510,12011,"broward, fl",399250.0,-0.0016,-0.0483,16208,-0.0075,0.1405,87.0,-0.0281,0.1931,3370,0.0518,-0.0491,142,-0.1013,-0.0533,0.0062,-0.0007,-0.0009,3932.0,0.0067,-0.0121,0.1732,0.0028,-0.0166,3142.0,-0.0177,-0.0247,309.0,-0.0031,-0.0391,1219.0,-0.0033,-0.0049,778354.0,0.0105,-0.0516,19371,-0.0078,0.1115,0.1938,-0.002,-0.0328,0,Non-State,Non-Nation
37,202510,12029,"dixie, fl",291500.0,0.0052,-0.0797,97,-0.0203,0.1988,80.0,-0.0647,-0.2319,8,-0.7333,0.0,0,-1.0,-0.24659999999999999,0.0,-0.0132,0.0,14.0,-0.125,0.4,0.1162,0.0076,0.0095,7.0,-0.44,0.1667,230.0,0.0,0.0972,1275.0,0.0119,0.0024,381050.0,-0.0272,0.013,104,-0.0591,0.1965,0.0725,-0.0544,-0.002,0,Non-State,Non-Nation
38,202510,12057,"hillsborough, fl",438500.0,-0.0024,0.0259,6372,-0.0064,0.1572,75.0,0.0204,0.087,1844,-0.0436,-0.0505,78,-0.025,-0.25,0.0077,-0.0001,-0.0032,2884.0,-0.0048,0.1849,0.2834,0.0047,0.0289,1960.0,-0.0439,-0.0742,242.0,-0.002,0.0133,1828.0,-0.0045,0.0086,654794.0,-0.0043,0.0478,8329,-0.0156,0.0931,0.3076,-0.0121,-0.0769,0,Non-State,Non-Nation
